Hash,File,Key,Value
e586c525e054fdc54fc65178b20cca64,Locale.DA.xaml,Base64,ICAgIDxSZXNvdXJjZURpY3Rpb25hcnkuTWVyZ2VkRGljdGlvbmFyaWVzPg0KICAgICAgICA8UmVzb3VyY2VEaWN0aW9uYXJ5IFNvdXJjZT0iTG9jYWxlLnhhbWwiIC8+DQoNCiAgICAgICAgPFJlc291cmNlRGljdGlvbmFyeSBTb3VyY2U9IlBvcnRhbC9Qb3J0YWwueGFtbCIgLz4NCiAgICAgICAgPFJlc291cmNlRGljdGlvbmFyeSBTb3VyY2U9IkRpc2NvcmQvRGlzY29yZC54YW1sIiAvPg0KICAgICAgICA8UmVzb3VyY2VEaWN0aW9uYXJ5IFNvdXJjZT0iTGF1bmNoZXIvTGF1bmNoZXIueGFtbCIgLz4NCg0KICAgICAgICA8UmVzb3VyY2VEaWN0aW9uYXJ5IFNvdXJjZT0iTGl2ZS9MaXZlLkRBLnhhbWwiIC8+DQogICAgICAgIDxSZXNvdXJjZURpY3Rpb25hcnkgU291cmNlPSJVbmRvL1VuZG8uREEueGFtbCIgLz4NCiAgICAgICAgPFJlc291cmNlRGljdGlvbmFyeSBTb3VyY2U9IlVwZGF0ZS9VcGRhdGUuREEueGFtbCIgLz4NCiAgICAgICAgPFJlc291cmNlRGljdGlvbmFyeSBTb3VyY2U9IlBvcnRhbC9Qb3J0YWwuREEueGFtbCIgLz4NCiAgICAgICAgPFJlc291cmNlRGljdGlvbmFyeSBTb3VyY2U9IkRpc2NvcmQvRGlzY29yZC5EQS54YW1sIiAvPg0KICAgICAgICA8UmVzb3VyY2VEaWN0aW9uYXJ5IFNvdXJjZT0iTGF1bmNoZXIvTGF1bmNoZXIuREEueGFtbCIgLz4NCiAgICAgICAgPFJlc291cmNlRGljdGlvbmFyeSBTb3VyY2U9IlByb3BlcnR5L1Byb3BlcnR5LkRBLnhhbWwiIC8+DQogICAgICAgIDxSZXNvdXJjZURpY3Rpb25hcnkgU291cmNlPSJXYXRjaGRvZy9XYXRjaGRvZy5EQS54YW1sIiAvPg0KICAgIDwvUmVzb3VyY2VEaWN0aW9uYXJ5Lk1lcmdlZERpY3Rpb25hcmllcz4=
6e9d25250392306554a99369bfea4d48,Discord\Discord.DA.xaml,Discord.BrowseButton,Gennemse
76d5ef4a47d4345c5dd04ff323fff33c,Discord\Discord.DA.xaml,Discord.Details,Tapetmotor
41653c48a988f8f65f3ec226bec98fa2,Discord\Discord.DA.xaml,Discord.DownloadButton,Hent
43d865b7d54608e2054977e82e76430d,Discord\Discord.DA.xaml,,
8c41b21ab35b09d809e87b78887608e1,Discord\Discord.DA.xaml,Discord.LargestText0,Banana Ice Cream Power
837bf021f18a95b9b5b7afbe9b1b61a0,Discord\Discord.DA.xaml,Discord.LargestText1,Smilende Hatemonster
ca208c3c0e2595a2fb64c483a848ca8c,Discord\Discord.DA.xaml,Discord.LargestText2,"Farverige Spurve, der Måler Skyerne"
92a623c65be2edd2fdd6525a2af6eed6,Discord\Discord.DA.xaml,Discord.LargestText3,Løbende Pingvins Hemmelige Eventyr
0b18ca2a33edcf1610281aa70e67b72f,Discord\Discord.DA.xaml,Discord.LargestText4,"Kaniner, der Er Forsvundet på Marken af Tusindfryd"
f2362586aba7850c41f3182162b2dbd5,Discord\Discord.DA.xaml,Discord.LargestText5,Sangende Vindblomster
7c6f0143e129300859c7c84aa99e84a3,Discord\Discord.DA.xaml,Discord.LargestText6,Mystiske Bier i den Hemmelige Skov
1be73ff10d3d817a5422c9e70da74c28,Discord\Discord.DA.xaml,Discord.LargestText7,Drømme fyldt med Fiskestim
66524ace77d7379c80b15d4fd9939429,Discord\Discord.DA.xaml,Discord.LargestText8,Krystaløjede Dragedans
64d53a92dbf8c5cce189ee657c612deb,Discord\Discord.DA.xaml,Discord.LargestText9,Eventyrsti Dækket med Blomster
86dd11693d8ecabda703e3f2c8adbac4,Discord\Discord.DA.xaml,Discord.LargestText10,"Stjerner, der Drysser fra Himmelen"
