Hash,File,Key,Value
e586c525e054fdc54fc65178b20cca64,Locale.DE.xaml,Base64,ICAgIDxSZXNvdXJjZURpY3Rpb25hcnkuTWVyZ2VkRGljdGlvbmFyaWVzPg0KICAgICAgICA8UmVzb3VyY2VEaWN0aW9uYXJ5IFNvdXJjZT0iTG9jYWxlLnhhbWwiIC8+DQoNCiAgICAgICAgPFJlc291cmNlRGljdGlvbmFyeSBTb3VyY2U9IlBvcnRhbC9Qb3J0YWwueGFtbCIgLz4NCiAgICAgICAgPFJlc291cmNlRGljdGlvbmFyeSBTb3VyY2U9IkRpc2NvcmQvRGlzY29yZC54YW1sIiAvPg0KICAgICAgICA8UmVzb3VyY2VEaWN0aW9uYXJ5IFNvdXJjZT0iTGF1bmNoZXIvTGF1bmNoZXIueGFtbCIgLz4NCg0KICAgICAgICA8UmVzb3VyY2VEaWN0aW9uYXJ5IFNvdXJjZT0iTGl2ZS9MaXZlLkRFLnhhbWwiIC8+DQogICAgICAgIDxSZXNvdXJjZURpY3Rpb25hcnkgU291cmNlPSJVbmRvL1VuZG8uREUueGFtbCIgLz4NCiAgICAgICAgPFJlc291cmNlRGljdGlvbmFyeSBTb3VyY2U9IlVwZGF0ZS9VcGRhdGUuREUueGFtbCIgLz4NCiAgICAgICAgPFJlc291cmNlRGljdGlvbmFyeSBTb3VyY2U9IlBvcnRhbC9Qb3J0YWwuREUueGFtbCIgLz4NCiAgICAgICAgPFJlc291cmNlRGljdGlvbmFyeSBTb3VyY2U9IkRpc2NvcmQvRGlzY29yZC5ERS54YW1sIiAvPg0KICAgICAgICA8UmVzb3VyY2VEaWN0aW9uYXJ5IFNvdXJjZT0iTGF1bmNoZXIvTGF1bmNoZXIuREUueGFtbCIgLz4NCiAgICAgICAgPFJlc291cmNlRGljdGlvbmFyeSBTb3VyY2U9IlByb3BlcnR5L1Byb3BlcnR5LkRFLnhhbWwiIC8+DQogICAgICAgIDxSZXNvdXJjZURpY3Rpb25hcnkgU291cmNlPSJXYXRjaGRvZy9XYXRjaGRvZy5ERS54YW1sIiAvPg0KICAgIDwvUmVzb3VyY2VEaWN0aW9uYXJ5Lk1lcmdlZERpY3Rpb25hcmllcz4=
6e9d25250392306554a99369bfea4d48,Discord\Discord.DE.xaml,Discord.BrowseButton,Durchsuchen
76d5ef4a47d4345c5dd04ff323fff33c,Discord\Discord.DE.xaml,Discord.Details,Wallpaper-Engine
41653c48a988f8f65f3ec226bec98fa2,Discord\Discord.DE.xaml,Discord.DownloadButton,Herunterladen
43d865b7d54608e2054977e82e76430d,Discord\Discord.DE.xaml,,
8c41b21ab35b09d809e87b78887608e1,Discord\Discord.DE.xaml,Discord.LargestText0,Die Macht des Bananeneises
837bf021f18a95b9b5b7afbe9b1b61a0,Discord\Discord.DE.xaml,Discord.LargestText1,Das lächelnde Hutmonster
ca208c3c0e2595a2fb64c483a848ca8c,Discord\Discord.DE.xaml,Discord.LargestText2,Die Wolken einfärbenden Sperlinge
92a623c65be2edd2fdd6525a2af6eed6,Discord\Discord.DE.xaml,Discord.LargestText3,Die geheimen Abenteuer der rennenden Pinguine
0b18ca2a33edcf1610281aa70e67b72f,Discord\Discord.DE.xaml,Discord.LargestText4,"Die Hasen, die sich im Kamillenfeld verirren"
f2362586aba7850c41f3182162b2dbd5,Discord\Discord.DE.xaml,Discord.LargestText5,Die singenden Windröschen
7c6f0143e129300859c7c84aa99e84a3,Discord\Discord.DE.xaml,Discord.LargestText6,Die Geheimnisvollen Bienen des Zauberwaldes
1be73ff10d3d817a5422c9e70da74c28,Discord\Discord.DE.xaml,Discord.LargestText7,Ein von Träumen erfüllter Fischschwarm
66524ace77d7379c80b15d4fd9939429,Discord\Discord.DE.xaml,Discord.LargestText8,Der Tanz des Kristalläugigen Drachen
64d53a92dbf8c5cce189ee657c612deb,Discord\Discord.DE.xaml,Discord.LargestText9,"Ein Märchenweg, bedeckt mit Blumen"
86dd11693d8ecabda703e3f2c8adbac4,Discord\Discord.DE.xaml,Discord.LargestText10,"Sterne, die vom Himmel fallen"
0e0297e2d8db5651f11e04b4fed05f03,Discord\Discord.DE.xaml,Discord.LargestText11,Tanz im Licht des zerbrochenen Mondes
3e84fc61a465f2c99220f5d3bc7c4f5a,Discord\Discord.DE.xaml,Discord.LargestText12,Die Geheimnisvollen Regenbogen-Drachen
aac601aa8d3ab08159c0773c3802dbbf,Discord\Discord.DE.xaml,Discord.LargestText13,Magisches Waldfabel
101f8b9f1f9f60bf5248cabf0c99b05a,Discord\Discord.DE.xaml,Discord.LargestText14,Blumenregen zum Himmel
72c5a912c72f7637803428688711f55c,Discord\Discord.DE.xaml,Discord.LargestText15,Die stille Berührung der Zeit
c9242e6a12ef0375a2683188ac87da21,Discord\Discord.DE.xaml,Discord.LargestText16,Surreale Traumlande
f1d0a9781fe17c8506a4547443c438c3,Discord\Discord.DE.xaml,Discord.LargestText17,Goldene Wasserfallgesänge
435791545f467bb94d06649d8338fb12,Discord\Discord.DE.xaml,Discord.LargestText18,"Märchenschiffe, die zum Himmel schweben"
2a056fb0130941f719fcbec4e3cdddea,Discord\Discord.DE.xaml,Discord.LargestText19,Buntes Ballonwald
055c3906ea278859e31a56a5e376d281,Discord\Discord.DE.xaml,Discord.LargestText20,Geheimnisvolle Unterwasserstadt
d307403fe91dcfd89066ca196a9ef90f,Discord\Discord.DE.xaml,Discord.LargestText21,Sternenstaubiger Himmel
23c9284d4be9b791b30162c12a6339c0,Discord\Discord.DE.xaml,Discord.LargestText22,"Winde, die dem Unbekannten folgen"
94502f2816da841ee79d7f2cf2f2520b,Discord\Discord.DE.xaml,Discord.LargestText23,Fesselnde Geschichten im Mondlicht
101c77e79b0fa01c6c4fd76362cb0215,Discord\Discord.DE.xaml,,
e3fc2e36b687e2058694379054c9f65b,Discord\Discord.DE.xaml,Discord.SmallestText0,Die geheimnisvollen Fußspuren
38b2565eb9c968c5dda6b39e0755ef31,Discord\Discord.DE.xaml,Discord.SmallestText1,Die fliegenden Ballonfische
b3e70cd05c46ebfe02d4b8018d356f6d,Discord\Discord.DE.xaml,Discord.SmallestText2,Die lachenden Blumen
2caac8d6b4e7051de9c8011c088ec24c,Discord\Discord.DE.xaml,Discord.SmallestText3,Die zuckerwattigen Wolken
c902bf477e03e099b7702203467ea7a3,Discord\Discord.DE.xaml,Discord.SmallestText4,Die gefrorenen Pizzadrachen
c84cf06b39f6a2f81a1773b636cf98f4,Discord\Discord.DE.xaml,Discord.SmallestText5,Die leuchtenden Pilzpiraten
e42ba6acc88f9fc5d7c4275c17050dc6,Discord\Discord.DE.xaml,Discord.SmallestText6,Unsichtbare Einhorn-Fußspuren
65c9d70698a68fbf669017225af456b2,Discord\Discord.DE.xaml,Discord.SmallestText7,Bunte Staubwolken
bf85be2eab17fd97a519243982f8cf19,Discord\Discord.DE.xaml,Discord.SmallestText8,Goldene Ballon-Schmetterlinge
afc9297468d9c9fe861ce5ec0e3faea6,Discord\Discord.DE.xaml,Discord.SmallestText9,Reise durch den Zuckerkrater
bda3520cd426949f37fe268fe545e46a,Discord\Discord.DE.xaml,Discord.SmallestText10,Mit Raketen fliegende Pizzastücke
dc8210b1cc6b6b0ad6f6b30fa3565d58,Discord\Discord.DE.xaml,Discord.SmallestText11,"Meeresmuscheln, die mit der Sonne tanzen"
e770bb16cd2a668d793851e841ded344,Discord\Discord.DE.xaml,Discord.SmallestText12,Unsichtbare Sternenfinger
7e5babf5f0bd27b65c0e8cdef2287aaf,Discord\Discord.DE.xaml,Discord.SmallestText13,Nebeliger Unterwassertanz
304f12c38072e9f049aa005e28e21f8f,Discord\Discord.DE.xaml,Discord.SmallestText14,Regenbogen-Vogelzüge
597c9afec251bb3fe6e94790cbb96f19,Discord\Discord.DE.xaml,Discord.SmallestText15,Weg durch den Zuckersturm
8ff25966c4ce264c7c2fa1ec335bbd16,Discord\Discord.DE.xaml,Discord.SmallestText16,Unendliche Pizza-Galaxie
80a1eeb74878f53019df56ca953f37a2,Discord\Discord.DE.xaml,Discord.SmallestText17,Lächeln der Sonne
6ead6ca731959babb4eafa4afb956f91,Discord\Discord.DE.xaml,Discord.SmallestText18,Das verlorene Lächeln des geheimen Teichs
92cedb7c6dadf97534028321ff546555,Discord\Discord.DE.xaml,Discord.SmallestText19,Schatten der Traumvögel
dd58e5d4388e7df1a988f783e47f3d08,Discord\Discord.DE.xaml,Discord.SmallestText20,"Schmetterlinge, die in den Himmel steigen"
54ac4ac6c3c908e0b591511ba3be86bc,Discord\Discord.DE.xaml,Discord.SmallestText21,"Lieder, die hinter den Sternen versteckt sind"
717241f892350289335f669e67bae49c,Discord\Discord.DE.xaml,Discord.SmallestText22,Die nebligen Berge der Märchen
ef5a7fa870cb8d4e895ee317258fa5f0,Discord\Discord.DE.xaml,Discord.SmallestText23,Die Fee des geheimnisvollen Waldes
679b42b402c05ed2d957a209a14c7eea,Discord\Discord.DE.xaml,,
e85163d06593bc3506a0b55bb6d385d7,Discord\Discord.DE.xaml,Discord.StatementText0,Ein Universum voller Chaos
603e3fdea38321b9d4f3c08a74055722,Discord\Discord.DE.xaml,Discord.StatementText1,Mitten in endlosen Abenteuern
e6eb87cf67aa4a936744f925a5e0f66e,Discord\Discord.DE.xaml,Discord.StatementText2,Eine seltsame und zauberhafte Welt
6b7357cd734a3108b57ee0c2cd4a1094,Discord\Discord.DE.xaml,Discord.StatementText3,Die Grenzen der Vorstellungskraft herausfordernd
87b5c50e056062b1be103f2521f95a26,Discord\Discord.DE.xaml,Discord.StatementText4,Eine außergewöhnliche Realität
144103fe33759e513160cbeaa2fcc80d,Discord\Discord.DE.xaml,Discord.StatementText5,In den Tiefen der Fantasie
551269cba70fbfc983551682ea30a270,Discord\Discord.DE.xaml,Discord.StatementText6,Eine magische Entdeckungsreise
4259008686f62f6b4d5b2939adb9192e,Discord\Discord.DE.xaml,Discord.StatementText7,An der Schwelle unbekannter Welten
dab8de8552534e7417b8850bedd5c264,Discord\Discord.DE.xaml,Discord.StatementText8,Eine komplexe Traumwelt
db50a99775c9471710bb30234aa94d0e,Discord\Discord.DE.xaml,Discord.StatementText9,"Ein Abenteuer, das Grenzen überschreitet"
a9d97649fbbda38e4235dcf53b8c811e,Discord\Discord.DE.xaml,Discord.StatementText10,Eine dynamische und überraschende Erfahrung
eb8419d8a5d616909d01b30d08d3c348,Discord\Discord.DE.xaml,Discord.StatementText11,Inmitten eines fantastischen Märchens
69434d85288b825a44357e93a71d9ad5,Discord\Discord.DE.xaml,Discord.StatementText12,Zwischen magischen Portalen
8b54bb82ef79efedb87efdb617fb0248,Discord\Discord.DE.xaml,Discord.StatementText13,Reise zum Nachthimmel
962b223608f7fc1906913a2d65f4d858,Discord\Discord.DE.xaml,Discord.StatementText14,Auf den Spuren des verschwundenen Kontinents
38837e329da6d1ee93f018da33eddff7,Discord\Discord.DE.xaml,Discord.StatementText15,Die Geschichte unbekannter Planeten
91134972a81338434601e691bdb1ba75,Discord\Discord.DE.xaml,Discord.StatementText16,Die Entdeckung paralleler Universen
81b2b1f045cd0570163218fba201f084,Discord\Discord.DE.xaml,Discord.StatementText17,Der Eingang zu legendären Reichen
047de5a829108b5fac49f72ab9109cd2,Discord\Discord.DE.xaml,Discord.StatementText18,Gewobene Realität mit dem Muster der Träume
a6980cc5d166dbe26665edcbc8eb5561,Discord\Discord.DE.xaml,Discord.StatementText19,Ein Traum zwischen den Sternen
e808aa6236c5f68945251603d2ec2935,Discord\Discord.DE.xaml,Discord.StatementText20,Hinter den Toren der Zeit
16676e93ffd586616f9f46b27c6b8ec0,Discord\Discord.DE.xaml,Discord.StatementText21,Das glitzernde Sternen-Ensemble
3aea4b817f3559b2eccff1120c5e1c35,Discord\Discord.DE.xaml,Discord.StatementText22,Der stille Schrei des Unbekannten
5a156d8af8d7b29cacf1c432785950e7,Discord\Discord.DE.xaml,Discord.StatementText23,Eine fesselnde Welt
3f5df082a5bdf615527eb874bcf830d2,Discord\Discord.DE.xaml,Discord.StatementText24,Auf dem Gipfel der mystischen Berge
19bf547e9746f5cfa21e9f9d8994d421,Discord\Discord.DE.xaml,Discord.StatementText25,Auf den Spuren verlorener Königreiche
c828f30c5f9a8d27f55a9d62cafb86b5,Discord\Discord.DE.xaml,Discord.StatementText26,Eine Reise durch den Traum der Sterne
