Hash,File,Key,Value
e586c525e054fdc54fc65178b20cca64,Locale.ES.xaml,Base64,ICAgIDxSZXNvdXJjZURpY3Rpb25hcnkuTWVyZ2VkRGljdGlvbmFyaWVzPg0KICAgICAgICA8UmVzb3VyY2VEaWN0aW9uYXJ5IFNvdXJjZT0iTG9jYWxlLnhhbWwiIC8+DQoNCiAgICAgICAgPFJlc291cmNlRGljdGlvbmFyeSBTb3VyY2U9IlBvcnRhbC9Qb3J0YWwueGFtbCIgLz4NCiAgICAgICAgPFJlc291cmNlRGljdGlvbmFyeSBTb3VyY2U9IkRpc2NvcmQvRGlzY29yZC54YW1sIiAvPg0KICAgICAgICA8UmVzb3VyY2VEaWN0aW9uYXJ5IFNvdXJjZT0iTGF1bmNoZXIvTGF1bmNoZXIueGFtbCIgLz4NCg0KICAgICAgICA8UmVzb3VyY2VEaWN0aW9uYXJ5IFNvdXJjZT0iTGl2ZS9MaXZlLkVTLnhhbWwiIC8+DQogICAgICAgIDxSZXNvdXJjZURpY3Rpb25hcnkgU291cmNlPSJVbmRvL1VuZG8uRVMueGFtbCIgLz4NCiAgICAgICAgPFJlc291cmNlRGljdGlvbmFyeSBTb3VyY2U9IlVwZGF0ZS9VcGRhdGUuRVMueGFtbCIgLz4NCiAgICAgICAgPFJlc291cmNlRGljdGlvbmFyeSBTb3VyY2U9IlBvcnRhbC9Qb3J0YWwuRVMueGFtbCIgLz4NCiAgICAgICAgPFJlc291cmNlRGljdGlvbmFyeSBTb3VyY2U9IkRpc2NvcmQvRGlzY29yZC5FUy54YW1sIiAvPg0KICAgICAgICA8UmVzb3VyY2VEaWN0aW9uYXJ5IFNvdXJjZT0iTGF1bmNoZXIvTGF1bmNoZXIuRVMueGFtbCIgLz4NCiAgICAgICAgPFJlc291cmNlRGljdGlvbmFyeSBTb3VyY2U9IlByb3BlcnR5L1Byb3BlcnR5LkVTLnhhbWwiIC8+DQogICAgICAgIDxSZXNvdXJjZURpY3Rpb25hcnkgU291cmNlPSJXYXRjaGRvZy9XYXRjaGRvZy5FUy54YW1sIiAvPg0KICAgIDwvUmVzb3VyY2VEaWN0aW9uYXJ5Lk1lcmdlZERpY3Rpb25hcmllcz4=
6e9d25250392306554a99369bfea4d48,Discord\Discord.ES.xaml,Discord.BrowseButton,Navegar
76d5ef4a47d4345c5dd04ff323fff33c,Discord\Discord.ES.xaml,Discord.Details,Motor de Papel Tapiz
41653c48a988f8f65f3ec226bec98fa2,Discord\Discord.ES.xaml,Discord.DownloadButton,Descargar
43d865b7d54608e2054977e82e76430d,Discord\Discord.ES.xaml,,
8c41b21ab35b09d809e87b78887608e1,Discord\Discord.ES.xaml,Discord.LargestText0,El poder del helado de plátano
837bf021f18a95b9b5b7afbe9b1b61a0,Discord\Discord.ES.xaml,Discord.LargestText1,El monstruo sonriente del sombrero
ca208c3c0e2595a2fb64c483a848ca8c,Discord\Discord.ES.xaml,Discord.LargestText2,Los gorriones que pintan las nubes
92a623c65be2edd2fdd6525a2af6eed6,Discord\Discord.ES.xaml,Discord.LargestText3,Las aventuras secretas de los pingüinos corredores
0b18ca2a33edcf1610281aa70e67b72f,Discord\Discord.ES.xaml,Discord.LargestText4,Los conejos perdidos en el campo de margaritas
