Hash,File,Key,Value
e586c525e054fdc54fc65178b20cca64,Locale.HI.xaml,Base64,ICAgIDxSZXNvdXJjZURpY3Rpb25hcnkuTWVyZ2VkRGljdGlvbmFyaWVzPg0KICAgICAgICA8UmVzb3VyY2VEaWN0aW9uYXJ5IFNvdXJjZT0iTG9jYWxlLnhhbWwiIC8+DQoNCiAgICAgICAgPFJlc291cmNlRGljdGlvbmFyeSBTb3VyY2U9IlBvcnRhbC9Qb3J0YWwueGFtbCIgLz4NCiAgICAgICAgPFJlc291cmNlRGljdGlvbmFyeSBTb3VyY2U9IkRpc2NvcmQvRGlzY29yZC54YW1sIiAvPg0KICAgICAgICA8UmVzb3VyY2VEaWN0aW9uYXJ5IFNvdXJjZT0iTGF1bmNoZXIvTGF1bmNoZXIueGFtbCIgLz4NCg0KICAgICAgICA8UmVzb3VyY2VEaWN0aW9uYXJ5IFNvdXJjZT0iTGl2ZS9MaXZlLkhJLnhhbWwiIC8+DQogICAgICAgIDxSZXNvdXJjZURpY3Rpb25hcnkgU291cmNlPSJVbmRvL1VuZG8uSEkueGFtbCIgLz4NCiAgICAgICAgPFJlc291cmNlRGljdGlvbmFyeSBTb3VyY2U9IlVwZGF0ZS9VcGRhdGUuSEkueGFtbCIgLz4NCiAgICAgICAgPFJlc291cmNlRGljdGlvbmFyeSBTb3VyY2U9IlBvcnRhbC9Qb3J0YWwuSEkueGFtbCIgLz4NCiAgICAgICAgPFJlc291cmNlRGljdGlvbmFyeSBTb3VyY2U9IkRpc2NvcmQvRGlzY29yZC5ISS54YW1sIiAvPg0KICAgICAgICA8UmVzb3VyY2VEaWN0aW9uYXJ5IFNvdXJjZT0iTGF1bmNoZXIvTGF1bmNoZXIuSEkueGFtbCIgLz4NCiAgICAgICAgPFJlc291cmNlRGljdGlvbmFyeSBTb3VyY2U9IlByb3BlcnR5L1Byb3BlcnR5LkhJLnhhbWwiIC8+DQogICAgICAgIDxSZXNvdXJjZURpY3Rpb25hcnkgU291cmNlPSJXYXRjaGRvZy9XYXRjaGRvZy5ISS54YW1sIiAvPg0KICAgIDwvUmVzb3VyY2VEaWN0aW9uYXJ5Lk1lcmdlZERpY3Rpb25hcmllcz4=
6e9d25250392306554a99369bfea4d48,Discord\Discord.HI.xaml,Discord.BrowseButton,ब्राउज़ कर
76d5ef4a47d4345c5dd04ff323fff33c,Discord\Discord.HI.xaml,Discord.Details,वॉलपेपर इंजन
41653c48a988f8f65f3ec226bec98fa2,Discord\Discord.HI.xaml,Discord.DownloadButton,डाउनलोड कर
43d865b7d54608e2054977e82e76430d,Discord\Discord.HI.xaml,,
8c41b21ab35b09d809e87b78887608e1,Discord\Discord.HI.xaml,Discord.LargestText0,केला आइसक्रीम पॉवर
837bf021f18a95b9b5b7afbe9b1b61a0,Discord\Discord.HI.xaml,Discord.LargestText1,मुस्कानी टोपी राक्षस
ca208c3c0e2595a2fb64c483a848ca8c,Discord\Discord.HI.xaml,Discord.LargestText2,रंगीन मेंढ़़ों वाला चिड़िया
92a623c65be2edd2fdd6525a2af6eed6,Discord\Discord.HI.xaml,Discord.LargestText3,दौड़ते पेंगुइन के गुप्त साहस
0b18ca2a33edcf1610281aa70e67b72f,Discord\Discord.HI.xaml,Discord.LargestText4,दैसी में खो जाने वाले खरगोश
