Hash,File,Key,Value
e586c525e054fdc54fc65178b20cca64,Locale.JA.xaml,Base64,ICAgIDxSZXNvdXJjZURpY3Rpb25hcnkuTWVyZ2VkRGljdGlvbmFyaWVzPg0KICAgICAgICA8UmVzb3VyY2VEaWN0aW9uYXJ5IFNvdXJjZT0iTG9jYWxlLnhhbWwiIC8+DQoNCiAgICAgICAgPFJlc291cmNlRGljdGlvbmFyeSBTb3VyY2U9IlBvcnRhbC9Qb3J0YWwueGFtbCIgLz4NCiAgICAgICAgPFJlc291cmNlRGljdGlvbmFyeSBTb3VyY2U9IkRpc2NvcmQvRGlzY29yZC54YW1sIiAvPg0KICAgICAgICA8UmVzb3VyY2VEaWN0aW9uYXJ5IFNvdXJjZT0iTGF1bmNoZXIvTGF1bmNoZXIueGFtbCIgLz4NCg0KICAgICAgICA8UmVzb3VyY2VEaWN0aW9uYXJ5IFNvdXJjZT0iTGl2ZS9MaXZlLkpBLnhhbWwiIC8+DQogICAgICAgIDxSZXNvdXJjZURpY3Rpb25hcnkgU291cmNlPSJVbmRvL1VuZG8uSkEueGFtbCIgLz4NCiAgICAgICAgPFJlc291cmNlRGljdGlvbmFyeSBTb3VyY2U9IlVwZGF0ZS9VcGRhdGUuSkEueGFtbCIgLz4NCiAgICAgICAgPFJlc291cmNlRGljdGlvbmFyeSBTb3VyY2U9IlBvcnRhbC9Qb3J0YWwuSkEueGFtbCIgLz4NCiAgICAgICAgPFJlc291cmNlRGljdGlvbmFyeSBTb3VyY2U9IkRpc2NvcmQvRGlzY29yZC5KQS54YW1sIiAvPg0KICAgICAgICA8UmVzb3VyY2VEaWN0aW9uYXJ5IFNvdXJjZT0iTGF1bmNoZXIvTGF1bmNoZXIuSkEueGFtbCIgLz4NCiAgICAgICAgPFJlc291cmNlRGljdGlvbmFyeSBTb3VyY2U9IlByb3BlcnR5L1Byb3BlcnR5LkpBLnhhbWwiIC8+DQogICAgICAgIDxSZXNvdXJjZURpY3Rpb25hcnkgU291cmNlPSJXYXRjaGRvZy9XYXRjaGRvZy5KQS54YW1sIiAvPg0KICAgIDwvUmVzb3VyY2VEaWN0aW9uYXJ5Lk1lcmdlZERpY3Rpb25hcmllcz4=
6e9d25250392306554a99369bfea4d48,Discord\Discord.JA.xaml,Discord.BrowseButton,閲覧
76d5ef4a47d4345c5dd04ff323fff33c,Discord\Discord.JA.xaml,Discord.Details,壁紙エンジン
41653c48a988f8f65f3ec226bec98fa2,Discord\Discord.JA.xaml,Discord.DownloadButton,ダウンロード
43d865b7d54608e2054977e82e76430d,Discord\Discord.JA.xaml,,
8c41b21ab35b09d809e87b78887608e1,Discord\Discord.JA.xaml,Discord.LargestText0,バナナアイスクリームの力
837bf021f18a95b9b5b7afbe9b1b61a0,Discord\Discord.JA.xaml,Discord.LargestText1,微笑む帽子のモンスター
ca208c3c0e2595a2fb64c483a848ca8c,Discord\Discord.JA.xaml,Discord.LargestText2,空を彩る雀たち
92a623c65be2edd2fdd6525a2af6eed6,Discord\Discord.JA.xaml,Discord.LargestText3,走るペンギンの秘密の冒険
0b18ca2a33edcf1610281aa70e67b72f,Discord\Discord.JA.xaml,Discord.LargestText4,デイジーの畑で迷子のウサギ
f2362586aba7850c41f3182162b2dbd5,Discord\Discord.JA.xaml,Discord.LargestText5,歌う風薫る花
7c6f0143e129300859c7c84aa99e84a3,Discord\Discord.JA.xaml,Discord.LargestText6,不思議な森の秘密の蜂
1be73ff10d3d817a5422c9e70da74c28,Discord\Discord.JA.xaml,Discord.LargestText7,夢に満ちた魚の群れ
66524ace77d7379c80b15d4fd9939429,Discord\Discord.JA.xaml,Discord.LargestText8,クリスタルアイのドラゴンダンス
64d53a92dbf8c5cce189ee657c612deb,Discord\Discord.JA.xaml,Discord.LargestText9,花で覆われたおとぎ話の道
86dd11693d8ecabda703e3f2c8adbac4,Discord\Discord.JA.xaml,Discord.LargestText10,空から降り注ぐ星々
0e0297e2d8db5651f11e04b4fed05f03,Discord\Discord.JA.xaml,Discord.LargestText11,折れた月の光の中での舞踏
3e84fc61a465f2c99220f5d3bc7c4f5a,Discord\Discord.JA.xaml,Discord.LargestText12,不思議な虹のドラゴン
aac601aa8d3ab08159c0773c3802dbbf,Discord\Discord.JA.xaml,Discord.LargestText13,魔法の森の物語
101f8b9f1f9f60bf5248cabf0c99b05a,Discord\Discord.JA.xaml,Discord.LargestText14,空に降る花の雨
