Hash,File,Key,Value
e586c525e054fdc54fc65178b20cca64,Locale.KO.xaml,Base64,ICAgIDxSZXNvdXJjZURpY3Rpb25hcnkuTWVyZ2VkRGljdGlvbmFyaWVzPg0KICAgICAgICA8UmVzb3VyY2VEaWN0aW9uYXJ5IFNvdXJjZT0iTG9jYWxlLnhhbWwiIC8+DQoNCiAgICAgICAgPFJlc291cmNlRGljdGlvbmFyeSBTb3VyY2U9IlBvcnRhbC9Qb3J0YWwueGFtbCIgLz4NCiAgICAgICAgPFJlc291cmNlRGljdGlvbmFyeSBTb3VyY2U9IkRpc2NvcmQvRGlzY29yZC54YW1sIiAvPg0KICAgICAgICA8UmVzb3VyY2VEaWN0aW9uYXJ5IFNvdXJjZT0iTGF1bmNoZXIvTGF1bmNoZXIueGFtbCIgLz4NCg0KICAgICAgICA8UmVzb3VyY2VEaWN0aW9uYXJ5IFNvdXJjZT0iTGl2ZS9MaXZlLktPLnhhbWwiIC8+DQogICAgICAgIDxSZXNvdXJjZURpY3Rpb25hcnkgU291cmNlPSJVbmRvL1VuZG8uS08ueGFtbCIgLz4NCiAgICAgICAgPFJlc291cmNlRGljdGlvbmFyeSBTb3VyY2U9IlVwZGF0ZS9VcGRhdGUuS08ueGFtbCIgLz4NCiAgICAgICAgPFJlc291cmNlRGljdGlvbmFyeSBTb3VyY2U9IlBvcnRhbC9Qb3J0YWwuS08ueGFtbCIgLz4NCiAgICAgICAgPFJlc291cmNlRGljdGlvbmFyeSBTb3VyY2U9IkRpc2NvcmQvRGlzY29yZC5LTy54YW1sIiAvPg0KICAgICAgICA8UmVzb3VyY2VEaWN0aW9uYXJ5IFNvdXJjZT0iTGF1bmNoZXIvTGF1bmNoZXIuS08ueGFtbCIgLz4NCiAgICAgICAgPFJlc291cmNlRGljdGlvbmFyeSBTb3VyY2U9IlByb3BlcnR5L1Byb3BlcnR5LktPLnhhbWwiIC8+DQogICAgICAgIDxSZXNvdXJjZURpY3Rpb25hcnkgU291cmNlPSJXYXRjaGRvZy9XYXRjaGRvZy5LTy54YW1sIiAvPg0KICAgIDwvUmVzb3VyY2VEaWN0aW9uYXJ5Lk1lcmdlZERpY3Rpb25hcmllcz4=
6e9d25250392306554a99369bfea4d48,Discord\Discord.KO.xaml,Discord.BrowseButton,찾아보기
76d5ef4a47d4345c5dd04ff323fff33c,Discord\Discord.KO.xaml,Discord.Details,벽지 엔진
41653c48a988f8f65f3ec226bec98fa2,Discord\Discord.KO.xaml,Discord.DownloadButton,다운로드
43d865b7d54608e2054977e82e76430d,Discord\Discord.KO.xaml,,
8c41b21ab35b09d809e87b78887608e1,Discord\Discord.KO.xaml,Discord.LargestText0,바나나 아이스크림 강력
837bf021f18a95b9b5b7afbe9b1b61a0,Discord\Discord.KO.xaml,Discord.LargestText1,미소 지은 모자 괴물
ca208c3c0e2595a2fb64c483a848ca8c,Discord\Discord.KO.xaml,Discord.LargestText2,구름 물들이는 참새들
92a623c65be2edd2fdd6525a2af6eed6,Discord\Discord.KO.xaml,Discord.LargestText3,달리는 펭귄의 비밀 모험
0b18ca2a33edcf1610281aa70e67b72f,Discord\Discord.KO.xaml,Discord.LargestText4,민들레 밭에서 길 잃은 토끼들
f2362586aba7850c41f3182162b2dbd5,Discord\Discord.KO.xaml,Discord.LargestText5,노래하는 바람 꽃
7c6f0143e129300859c7c84aa99e84a3,Discord\Discord.KO.xaml,Discord.LargestText6,신비로운 숲의 비밀스러운 벌
1be73ff10d3d817a5422c9e70da74c28,Discord\Discord.KO.xaml,Discord.LargestText7,꿈 가득한 물고기 떼
66524ace77d7379c80b15d4fd9939429,Discord\Discord.KO.xaml,Discord.LargestText8,수정 눈의 용 춤
64d53a92dbf8c5cce189ee657c612deb,Discord\Discord.KO.xaml,Discord.LargestText9,꽃으로 뒤덮인 동화 길
86dd11693d8ecabda703e3f2c8adbac4,Discord\Discord.KO.xaml,Discord.LargestText10,하늘에서 쏟아지는 별들
