Hash,File,Key,Value
e586c525e054fdc54fc65178b20cca64,Locale.MS.xaml,Base64,ICAgIDxSZXNvdXJjZURpY3Rpb25hcnkuTWVyZ2VkRGljdGlvbmFyaWVzPg0KICAgICAgICA8UmVzb3VyY2VEaWN0aW9uYXJ5IFNvdXJjZT0iTG9jYWxlLnhhbWwiIC8+DQoNCiAgICAgICAgPFJlc291cmNlRGljdGlvbmFyeSBTb3VyY2U9IlBvcnRhbC9Qb3J0YWwueGFtbCIgLz4NCiAgICAgICAgPFJlc291cmNlRGljdGlvbmFyeSBTb3VyY2U9IkRpc2NvcmQvRGlzY29yZC54YW1sIiAvPg0KICAgICAgICA8UmVzb3VyY2VEaWN0aW9uYXJ5IFNvdXJjZT0iTGF1bmNoZXIvTGF1bmNoZXIueGFtbCIgLz4NCg0KICAgICAgICA8UmVzb3VyY2VEaWN0aW9uYXJ5IFNvdXJjZT0iTGl2ZS9MaXZlLk1TLnhhbWwiIC8+DQogICAgICAgIDxSZXNvdXJjZURpY3Rpb25hcnkgU291cmNlPSJVbmRvL1VuZG8uTVMueGFtbCIgLz4NCiAgICAgICAgPFJlc291cmNlRGljdGlvbmFyeSBTb3VyY2U9IlVwZGF0ZS9VcGRhdGUuTVMueGFtbCIgLz4NCiAgICAgICAgPFJlc291cmNlRGljdGlvbmFyeSBTb3VyY2U9IlBvcnRhbC9Qb3J0YWwuTVMueGFtbCIgLz4NCiAgICAgICAgPFJlc291cmNlRGljdGlvbmFyeSBTb3VyY2U9IkRpc2NvcmQvRGlzY29yZC5NUy54YW1sIiAvPg0KICAgICAgICA8UmVzb3VyY2VEaWN0aW9uYXJ5IFNvdXJjZT0iTGF1bmNoZXIvTGF1bmNoZXIuTVMueGFtbCIgLz4NCiAgICAgICAgPFJlc291cmNlRGljdGlvbmFyeSBTb3VyY2U9IlByb3BlcnR5L1Byb3BlcnR5Lk1TLnhhbWwiIC8+DQogICAgICAgIDxSZXNvdXJjZURpY3Rpb25hcnkgU291cmNlPSJXYXRjaGRvZy9XYXRjaGRvZy5NUy54YW1sIiAvPg0KICAgIDwvUmVzb3VyY2VEaWN0aW9uYXJ5Lk1lcmdlZERpY3Rpb25hcmllcz4=
6e9d25250392306554a99369bfea4d48,Discord\Discord.MS.xaml,Discord.BrowseButton,Jelajah
76d5ef4a47d4345c5dd04ff323fff33c,Discord\Discord.MS.xaml,Discord.Details,Enjin Wallpaper
41653c48a988f8f65f3ec226bec98fa2,Discord\Discord.MS.xaml,Discord.DownloadButton,Muat turun
43d865b7d54608e2054977e82e76430d,Discord\Discord.MS.xaml,,
8c41b21ab35b09d809e87b78887608e1,Discord\Discord.MS.xaml,Discord.LargestText0,Kuasa Aiskrim Pisang
837bf021f18a95b9b5b7afbe9b1b61a0,Discord\Discord.MS.xaml,Discord.LargestText1,Raksasa Topi Senyum
ca208c3c0e2595a2fb64c483a848ca8c,Discord\Discord.MS.xaml,Discord.LargestText2,Burung Layang-layang Warna-warni
92a623c65be2edd2fdd6525a2af6eed6,Discord\Discord.MS.xaml,Discord.LargestText3,Kisah Seram Pengembaraan Penguin
0b18ca2a33edcf1610281aa70e67b72f,Discord\Discord.MS.xaml,Discord.LargestText4,Kelip-kelip Lapangan Bunga
f2362586aba7850c41f3182162b2dbd5,Discord\Discord.MS.xaml,Discord.LargestText5,Bunga Kincir Angin Bernyanyi
7c6f0143e129300859c7c84aa99e84a3,Discord\Discord.MS.xaml,Discord.LargestText6,Lebah Ajaib Hutan Misteri
1be73ff10d3d817a5422c9e70da74c28,Discord\Discord.MS.xaml,Discord.LargestText7,Kawanan Ikan Bermimpi
66524ace77d7379c80b15d4fd9939429,Discord\Discord.MS.xaml,Discord.LargestText8,Tarian Naga Kristal
64d53a92dbf8c5cce189ee657c612deb,Discord\Discord.MS.xaml,Discord.LargestText9,Laluan Dongeng Berbunga
86dd11693d8ecabda703e3f2c8adbac4,Discord\Discord.MS.xaml,Discord.LargestText10,Bintang Jatuh dari Langit
0e0297e2d8db5651f11e04b4fed05f03,Discord\Discord.MS.xaml,Discord.LargestText11,Menari di Cahaya Bulan Patah
3e84fc61a465f2c99220f5d3bc7c4f5a,Discord\Discord.MS.xaml,Discord.LargestText12,Naga Pelangi Misteri
aac601aa8d3ab08159c0773c3802dbbf,Discord\Discord.MS.xaml,Discord.LargestText13,Kisah Hutan Ajaib
101f8b9f1f9f60bf5248cabf0c99b05a,Discord\Discord.MS.xaml,Discord.LargestText14,Hujan Bunga ke Langit
72c5a912c72f7637803428688711f55c,Discord\Discord.MS.xaml,Discord.LargestText15,Sentuhan Senyap Masa
c9242e6a12ef0375a2683188ac87da21,Discord\Discord.MS.xaml,Discord.LargestText16,Surreal Dreamland
f1d0a9781fe17c8506a4547443c438c3,Discord\Discord.MS.xaml,Discord.LargestText17,Lagu Air Terjun Emas
435791545f467bb94d06649d8338fb12,Discord\Discord.MS.xaml,Discord.LargestText18,Kapal Dongeng Terapung ke Langit
2a056fb0130941f719fcbec4e3cdddea,Discord\Discord.MS.xaml,Discord.LargestText19,Hutan Berbalon Berwarna-warni
055c3906ea278859e31a56a5e376d281,Discord\Discord.MS.xaml,Discord.LargestText20,Bandar Bawah Laut Misteri
d307403fe91dcfd89066ca196a9ef90f,Discord\Discord.MS.xaml,Discord.LargestText21,Langit Berdebu Bintang
23c9284d4be9b791b30162c12a6339c0,Discord\Discord.MS.xaml,Discord.LargestText22,Angin yang Berlari Mengejar Misteri
94502f2816da841ee79d7f2cf2f2520b,Discord\Discord.MS.xaml,Discord.LargestText23,Kisah Menarik di Bawah Cahaya Bulan
101c77e79b0fa01c6c4fd76362cb0215,Discord\Discord.MS.xaml,,
e3fc2e36b687e2058694379054c9f65b,Discord\Discord.MS.xaml,Discord.SmallestText0,Jejak Misteri Kaki
38b2565eb9c968c5dda6b39e0755ef31,Discord\Discord.MS.xaml,Discord.SmallestText1,Ikan Balon Terbang
b3e70cd05c46ebfe02d4b8018d356f6d,Discord\Discord.MS.xaml,Discord.SmallestText2,Bunga Tertawa
2caac8d6b4e7051de9c8011c088ec24c,Discord\Discord.MS.xaml,Discord.SmallestText3,Awan Gula-gula Kapas
c902bf477e03e099b7702203467ea7a3,Discord\Discord.MS.xaml,Discord.SmallestText4,Naga Pizza Beku
c84cf06b39f6a2f81a1773b636cf98f4,Discord\Discord.MS.xaml,Discord.SmallestText5,Lautan Kupu-kupu
e42ba6acc88f9fc5d7c4275c17050dc6,Discord\Discord.MS.xaml,Discord.SmallestText6,Jejak Unicorn Tak Terlihat
65c9d70698a68fbf669017225af456b2,Discord\Discord.MS.xaml,Discord.SmallestText7,Awan Bedak Berwarna
bf85be2eab17fd97a519243982f8cf19,Discord\Discord.MS.xaml,Discord.SmallestText8,Kupu-kupu Balon Emas
afc9297468d9c9fe861ce5ec0e3faea6,Discord\Discord.MS.xaml,Discord.SmallestText9,Perjalanan Ke Krater Gula
bda3520cd426949f37fe268fe545e46a,Discord\Discord.MS.xaml,Discord.SmallestText10,Iriss Pizza Meluncurkan Roket
dc8210b1cc6b6b0ad6f6b30fa3565d58,Discord\Discord.MS.xaml,Discord.SmallestText11,Kerang Dansa dengan Matahari
e770bb16cd2a668d793851e841ded344,Discord\Discord.MS.xaml,Discord.SmallestText12,Jari-jari Bintang Tak Terlihat
7e5babf5f0bd27b65c0e8cdef2287aaf,Discord\Discord.MS.xaml,Discord.SmallestText13,Tarian Bawah Laut Berkabut
304f12c38072e9f049aa005e28e21f8f,Discord\Discord.MS.xaml,Discord.SmallestText14,Migrasi Burung Pelangi
597c9afec251bb3fe6e94790cbb96f19,Discord\Discord.MS.xaml,Discord.SmallestText15,Jejak Badai Gula
8ff25966c4ce264c7c2fa1ec335bbd16,Discord\Discord.MS.xaml,Discord.SmallestText16,Galaksi Pizza yang Tak Terbatas
80a1eeb74878f53019df56ca953f37a2,Discord\Discord.MS.xaml,Discord.SmallestText17,Senyuman Matahari
6ead6ca731959babb4eafa4afb956f91,Discord\Discord.MS.xaml,Discord.SmallestText18,Senyuman yang Hilang di Kolam Rahasia
92cedb7c6dadf97534028321ff546555,Discord\Discord.MS.xaml,Discord.SmallestText19,Bayang-bayang Burung Impian
dd58e5d4388e7df1a988f783e47f3d08,Discord\Discord.MS.xaml,Discord.SmallestText20,Kupu-kupu Menuju Langit
54ac4ac6c3c908e0b591511ba3be86bc,Discord\Discord.MS.xaml,Discord.SmallestText21,Lagu-lagu Tersembunyi di Balik Bintang
717241f892350289335f669e67bae49c,Discord\Discord.MS.xaml,Discord.SmallestText22,Gunung Kabut Dongeng
ef5a7fa870cb8d4e895ee317258fa5f0,Discord\Discord.MS.xaml,Discord.SmallestText23,Peri Hutan Misteri
679b42b402c05ed2d957a209a14c7eea,Discord\Discord.MS.xaml,,
e85163d06593bc3506a0b55bb6d385d7,Discord\Discord.MS.xaml,Discord.StatementText0,Dunia yang Penuh dengan Kekacauan
603e3fdea38321b9d4f3c08a74055722,Discord\Discord.MS.xaml,Discord.StatementText1,Di Tengah-tengah Petualangan yang Tak Terbatas
e6eb87cf67aa4a936744f925a5e0f66e,Discord\Discord.MS.xaml,Discord.StatementText2,Dunia yang Ajaib dan Mistik
6b7357cd734a3108b57ee0c2cd4a1094,Discord\Discord.MS.xaml,Discord.StatementText3,Menjelajahi Batas-batas Imajinasi
87b5c50e056062b1be103f2521f95a26,Discord\Discord.MS.xaml,Discord.StatementText4,Kenyataan yang Luar Biasa
144103fe33759e513160cbeaa2fcc80d,Discord\Discord.MS.xaml,Discord.StatementText5,Di dalam Kedalaman Imajinasi
551269cba70fbfc983551682ea30a270,Discord\Discord.MS.xaml,Discord.StatementText6,Perjalanan Penemuan yang Ajaib
4259008686f62f6b4d5b2939adb9192e,Discord\Discord.MS.xaml,Discord.StatementText7,Di Pintu-pintu ke Dunia yang Tidak Dikenal
dab8de8552534e7417b8850bedd5c264,Discord\Discord.MS.xaml,Discord.StatementText8,Sebuah Dunia Mimpi yang Rumit
db50a99775c9471710bb30234aa94d0e,Discord\Discord.MS.xaml,Discord.StatementText9,Petualangan yang Menantang Batas
a9d97649fbbda38e4235dcf53b8c811e,Discord\Discord.MS.xaml,Discord.StatementText10,Pengalaman yang Dinamis dan Mengejutkan
eb8419d8a5d616909d01b30d08d3c348,Discord\Discord.MS.xaml,Discord.StatementText11,Di dalam Dongeng yang Fantastis
69434d85288b825a44357e93a71d9ad5,Discord\Discord.MS.xaml,Discord.StatementText12,Di Antara Portal-portal Ajaib
8b54bb82ef79efedb87efdb617fb0248,Discord\Discord.MS.xaml,Discord.StatementText13,Perjalanan ke Langit Malam
962b223608f7fc1906913a2d65f4d858,Discord\Discord.MS.xaml,Discord.StatementText14,Di Jejak Benua yang Hilang
38837e329da6d1ee93f018da33eddff7,Discord\Discord.MS.xaml,Discord.StatementText15,Kisah-kisah Planet yang Tidak Dikenal
91134972a81338434601e691bdb1ba75,Discord\Discord.MS.xaml,Discord.StatementText16,Penemuan di Antariksa Paralel
81b2b1f045cd0570163218fba201f084,Discord\Discord.MS.xaml,Discord.StatementText17,Pintu Masuk ke Dunia-dunia Legendaris
047de5a829108b5fac49f72ab9109cd2,Discord\Discord.MS.xaml,Discord.StatementText18,Kenyataan yang Dihiasi dengan Benang Mimpi
a6980cc5d166dbe26665edcbc8eb5561,Discord\Discord.MS.xaml,Discord.StatementText19,Sebuah Mimpi di Antarbintang
e808aa6236c5f68945251603d2ec2935,Discord\Discord.MS.xaml,Discord.StatementText20,Di Balik Pintu-pintu Waktu
16676e93ffd586616f9f46b27c6b8ec0,Discord\Discord.MS.xaml,Discord.StatementText21,Di dalam Gugusan Bintang yang Bersinar
3aea4b817f3559b2eccff1120c5e1c35,Discord\Discord.MS.xaml,Discord.StatementText22,Teriakan Hampa yang Tidak Dikenal
5a156d8af8d7b29cacf1c432785950e7,Discord\Discord.MS.xaml,Discord.StatementText23,Dunia yang Menarik
3f5df082a5bdf615527eb874bcf830d2,Discord\Discord.MS.xaml,Discord.StatementText24,Di Puncak Gunung Mistis
19bf547e9746f5cfa21e9f9d8994d421,Discord\Discord.MS.xaml,Discord.StatementText25,Mengikuti Jejak Kerajaan yang Hilang
c828f30c5f9a8d27f55a9d62cafb86b5,Discord\Discord.MS.xaml,Discord.StatementText26,Perjalanan Mimpi di Antarbintang
408e30262320f623051ae810ce587122,Discord\Discord.MS.xaml,Discord.StatementText27,Makhluk-makhluk Malam yang Ajaib
361bc88fdcce227941a87a87cea13433,Discord\Discord.MS.xaml,Discord.StatementText28,Awal dari Dongeng yang Tak Terbatas
6cfbedfadaf87e289dded9a0bf4ed902,Discord\Discord.MS.xaml,Discord.StatementText29,Balon Warna-warni yang Terbang ke Langit
4bbda4ad916ae316629d49ea3e904479,Discord\Discord.MS.xaml,Discord.StatementText30,Langit Malam yang Misterius
6f0d08c3e90443ab0af00aac7cbd6c03,Discord\Discord.MS.xaml,Discord.StatementText31,Kerajaan yang Hilang di Jalan Mimpi
33e674319ba12da2af092281a40e7f12,Discord\Discord.MS.xaml,Discord.StatementText32,Pintu ke Dunia-dunia yang Tidak Dikenal
d8e33b204b10f2954b9eef4e6d73f147,Discord\Discord.MS.xaml,Discord.StatementText33,Tarian di Pangkuan Waktu
f6052e9be316d6a882143e81898cfcc7,Discord\Discord.MS.xaml,Discord.StatementText34,Kisah-kisah yang Terselubung oleh Malam
959411166e8a52fc352983ced6808d5c,Discord\Discord.MS.xaml,Discord.StatementText35,Dunia Cermin yang Ajaib
1176f0332ffa994bed3746f10491cbf4,Discord\Discord.MS.xaml,Discord.StatementText36,Perjalanan di Pintu Menuju Kekalahan
5bffe1f326a23c91a64ad8c47b59209d,Discord\Discord.MS.xaml,Discord.StatementText37,Perjalanan Malam Pemburu Mimpi
c427597c3c9ef306f4abe04c8ec1fc3e,Discord\Discord.MS.xaml,Discord.StatementText38,Mimpi di Kota Kristal
9f72b45a8b11c0d96efdb56b5e9454e7,Discord\Discord.MS.xaml,Discord.StatementText39,Bintang-bintang yang Bersinar dalam Kegelapan
b15424a398bb023d3cd813bf27fdc9fe,Discord\Discord.MS.xaml,Discord.StatementText40,Malam yang Ajaib di Balik Bintang-bintang
41a639575e4ebd69815d9680b709d598,Discord\Discord.MS.xaml,Discord.StatementText41,Cerita Bulan yang Misterius
b6dd08282582cb7014c2e22a445133f4,Discord\Discord.MS.xaml,Discord.StatementText42,Pintu Emas di Ambang Dunia yang Tidak Dikenal
3932a0864f01b01bb7f0af484e638a46,Discord\Discord.MS.xaml,Discord.StatementText43,Jalan-jalan Misteri di Malam yang Ajaib
c5ba0c1027fc42ab47fe89608aedcef1,Discord\Discord.MS.xaml,Discord.StatementText44,Balon Mimpi yang Terbang ke Langit
fee9cb622174bff7494469c4559b4eb6,Discord\Discord.MS.xaml,Discord.StatementText45,Di Bawah Bintang-bintang Jalan Mimpi
6a1cdbf047734d43d2f309710ce7af2f,Discord\Discord.MS.xaml,Discord.StatementText46,Kota di Pinggir Bintang yang Tersembunyi
757dca76601fd3f1d30c977a04cb7a7e,Discord\Discord.MS.xaml,Discord.StatementText47,Kisah di Balik Kabut di Balik Gunung
e9bb8ada2e772e82557870a06e222539,Discord\Discord.MS.xaml,Discord.StatementText48,Malam yang Dipenuhi dengan Bintang yang Bersinar
12a3ec3e8321d0234a7196dcc1155682,Launcher\Launcher.MS.xaml,Launcher.WallCustomizeText,Sesuaikan Wallpaper
47f260e5600426782661bfbfafaa0eab,Launcher\Launcher.MS.xaml,,
6f7810a045103d384817f477740825aa,Launcher\Launcher.MS.xaml,Launcher.CreateLogText,Cipta Fail Log
16304f700844ca611b180562ef47a98d,Launcher\Launcher.MS.xaml,,
f4d45008933c53a9abae7fcad7c43c37,Launcher\Launcher.MS.xaml,Launcher.CloseText,Tutup Aplikasi
16b80d65d0f4212237bd072e499a7e78,Launcher\Launcher.MS.xaml,,
db04b9e907c4009ac5b157f2bc237fa0,Launcher\Launcher.MS.xaml,Launcher.ExitText,Keluar
0f656f2b29a804419629d30d541d6f9e,Launcher\Launcher.MS.xaml,,
d373fbee3dbe31665321351ad48f164a,Launcher\Launcher.MS.xaml,Launcher.OpenReportText,Laporkan Masalah
4c3a55394d95cbc1bf9a4b5f5cb200fb,Launcher\Launcher.MS.xaml,,
bb3839fe4a8034edd15dcf8174275e54,Launcher\Launcher.MS.xaml,Launcher.OpenText,Buka Sucrose
d8af422b196487a6497451420594a49e,Launcher\Launcher.MS.xaml,,
