Hash,File,Key,Value
e586c525e054fdc54fc65178b20cca64,Locale.PL.xaml,Base64,ICAgIDxSZXNvdXJjZURpY3Rpb25hcnkuTWVyZ2VkRGljdGlvbmFyaWVzPg0KICAgICAgICA8UmVzb3VyY2VEaWN0aW9uYXJ5IFNvdXJjZT0iTG9jYWxlLnhhbWwiIC8+DQoNCiAgICAgICAgPFJlc291cmNlRGljdGlvbmFyeSBTb3VyY2U9IlBvcnRhbC9Qb3J0YWwueGFtbCIgLz4NCiAgICAgICAgPFJlc291cmNlRGljdGlvbmFyeSBTb3VyY2U9IkRpc2NvcmQvRGlzY29yZC54YW1sIiAvPg0KICAgICAgICA8UmVzb3VyY2VEaWN0aW9uYXJ5IFNvdXJjZT0iTGF1bmNoZXIvTGF1bmNoZXIueGFtbCIgLz4NCg0KICAgICAgICA8UmVzb3VyY2VEaWN0aW9uYXJ5IFNvdXJjZT0iTGl2ZS9MaXZlLlBMLnhhbWwiIC8+DQogICAgICAgIDxSZXNvdXJjZURpY3Rpb25hcnkgU291cmNlPSJVbmRvL1VuZG8uUEwueGFtbCIgLz4NCiAgICAgICAgPFJlc291cmNlRGljdGlvbmFyeSBTb3VyY2U9IlVwZGF0ZS9VcGRhdGUuUEwueGFtbCIgLz4NCiAgICAgICAgPFJlc291cmNlRGljdGlvbmFyeSBTb3VyY2U9IlBvcnRhbC9Qb3J0YWwuUEwueGFtbCIgLz4NCiAgICAgICAgPFJlc291cmNlRGljdGlvbmFyeSBTb3VyY2U9IkRpc2NvcmQvRGlzY29yZC5QTC54YW1sIiAvPg0KICAgICAgICA8UmVzb3VyY2VEaWN0aW9uYXJ5IFNvdXJjZT0iTGF1bmNoZXIvTGF1bmNoZXIuUEwueGFtbCIgLz4NCiAgICAgICAgPFJlc291cmNlRGljdGlvbmFyeSBTb3VyY2U9IlByb3BlcnR5L1Byb3BlcnR5LlBMLnhhbWwiIC8+DQogICAgICAgIDxSZXNvdXJjZURpY3Rpb25hcnkgU291cmNlPSJXYXRjaGRvZy9XYXRjaGRvZy5QTC54YW1sIiAvPg0KICAgIDwvUmVzb3VyY2VEaWN0aW9uYXJ5Lk1lcmdlZERpY3Rpb25hcmllcz4=
6e9d25250392306554a99369bfea4d48,Discord\Discord.PL.xaml,Discord.BrowseButton,Przeglądać
76d5ef4a47d4345c5dd04ff323fff33c,Discord\Discord.PL.xaml,Discord.Details,Silnik Tapet
41653c48a988f8f65f3ec226bec98fa2,Discord\Discord.PL.xaml,Discord.DownloadButton,Pobierać
43d865b7d54608e2054977e82e76430d,Discord\Discord.PL.xaml,,
8c41b21ab35b09d809e87b78887608e1,Discord\Discord.PL.xaml,Discord.LargestText0,Moc lodów bananowych
837bf021f18a95b9b5b7afbe9b1b61a0,Discord\Discord.PL.xaml,Discord.LargestText1,Uśmiechnięty potwór z kapelusza
ca208c3c0e2595a2fb64c483a848ca8c,Discord\Discord.PL.xaml,Discord.LargestText2,Ślad Stosu:Wyst
92a623c65be2edd2fdd6525a2af6eed6,Discord\Discord.PL.xaml,Discord.LargestText3,Tajemnicze przygody biegnących pingwinów
0b18ca2a33edcf1610281aa70e67b72f,Discord\Discord.PL.xaml,Discord.LargestText4,"Wróbelki, które malują chmury"
f2362586aba7850c41f3182162b2dbd5,Discord\Discord.PL.xaml,Discord.LargestText5,Wiatraki śpiewające piosenki
7c6f0143e129300859c7c84aa99e84a3,Discord\Discord.PL.xaml,Discord.LargestText6,Tajemnicze Pszczoły Tajemniczego Lasu
1be73ff10d3d817a5422c9e70da74c28,Discord\Discord.PL.xaml,Discord.LargestText7,Ryby Pełne Marzeń
66524ace77d7379c80b15d4fd9939429,Discord\Discord.PL.xaml,Discord.LargestText8,Tańce Kryształowego Smoka
64d53a92dbf8c5cce189ee657c612deb,Discord\Discord.PL.xaml,Discord.LargestText9,Droga Baśniowa Uwieńczona Kwiatami
86dd11693d8ecabda703e3f2c8adbac4,Discord\Discord.PL.xaml,Discord.LargestText10,Gwiazdy Spadające z Nieba
0e0297e2d8db5651f11e04b4fed05f03,Discord\Discord.PL.xaml,Discord.LargestText11,Tańce w Świetle Rozbitego Księżyca
3e84fc61a465f2c99220f5d3bc7c4f5a,Discord\Discord.PL.xaml,Discord.LargestText12,Tajemnicze Smoki Tęczowego Nieba
aac601aa8d3ab08159c0773c3802dbbf,Discord\Discord.PL.xaml,Discord.LargestText13,Magiczna Opowieść o Lesie
101f8b9f1f9f60bf5248cabf0c99b05a,Discord\Discord.PL.xaml,Discord.LargestText14,Deszcz Kwiatów do Nieba
72c5a912c72f7637803428688711f55c,Discord\Discord.PL.xaml,Discord.LargestText15,Cicha Pieszczota Czasu
c9242e6a12ef0375a2683188ac87da21,Discord\Discord.PL.xaml,Discord.LargestText16,Kraina Surrealistycznych Marzeń
f1d0a9781fe17c8506a4547443c438c3,Discord\Discord.PL.xaml,Discord.LargestText17,Złote Pieśni Wodospadu
435791545f467bb94d06649d8338fb12,Discord\Discord.PL.xaml,Discord.LargestText18,Baśniowe Statki Unoszące się ku Niebu
2a056fb0130941f719fcbec4e3cdddea,Discord\Discord.PL.xaml,Discord.LargestText19,Leśne Balony w Kolorach
055c3906ea278859e31a56a5e376d281,Discord\Discord.PL.xaml,Discord.LargestText20,Tajemnicze Podwodne Miasto
d307403fe91dcfd89066ca196a9ef90f,Discord\Discord.PL.xaml,Discord.LargestText21,Gwiezdny Pył na Niebie
23c9284d4be9b791b30162c12a6339c0,Discord\Discord.PL.xaml,Discord.LargestText22,Wiatry Goniące Nieznane
94502f2816da841ee79d7f2cf2f2520b,Discord\Discord.PL.xaml,Discord.LargestText23,Wciągające Opowieści w Świetle Księżyca
101c77e79b0fa01c6c4fd76362cb0215,Discord\Discord.PL.xaml,,
e3fc2e36b687e2058694379054c9f65b,Discord\Discord.PL.xaml,Discord.SmallestText0,Tajemnicze ślady stóp
38b2565eb9c968c5dda6b39e0755ef31,Discord\Discord.PL.xaml,Discord.SmallestText1,Latające balonowe rybki
b3e70cd05c46ebfe02d4b8018d356f6d,Discord\Discord.PL.xaml,Discord.SmallestText2,Kwiaty śmiejące się wesoło
2caac8d6b4e7051de9c8011c088ec24c,Discord\Discord.PL.xaml,Discord.SmallestText3,Chmurki z cukrowej waty
c902bf477e03e099b7702203467ea7a3,Discord\Discord.PL.xaml,Discord.SmallestText4,Zamrożone smoki-pizze
c84cf06b39f6a2f81a1773b636cf98f4,Discord\Discord.PL.xaml,Discord.SmallestText5,Błyszczący piraci grzybowi
e42ba6acc88f9fc5d7c4275c17050dc6,Discord\Discord.PL.xaml,Discord.SmallestText6,Niewidoczne Ślady Nogi Jednorożca
65c9d70698a68fbf669017225af456b2,Discord\Discord.PL.xaml,Discord.SmallestText7,Kolorowe Chmury Pyłu
bf85be2eab17fd97a519243982f8cf19,Discord\Discord.PL.xaml,Discord.SmallestText8,Złote Motyle w Balonach
afc9297468d9c9fe861ce5ec0e3faea6,Discord\Discord.PL.xaml,Discord.SmallestText9,Podróż do Krateru Cukru
bda3520cd426949f37fe268fe545e46a,Discord\Discord.PL.xaml,Discord.SmallestText10,Lot Pizza Kawałka Rakietą
dc8210b1cc6b6b0ad6f6b30fa3565d58,Discord\Discord.PL.xaml,Discord.SmallestText11,Tańce Skorup Morskich w Słońcu
e770bb16cd2a668d793851e841ded344,Discord\Discord.PL.xaml,Discord.SmallestText12,Niewidoczne Palce Gwiazd
7e5babf5f0bd27b65c0e8cdef2287aaf,Discord\Discord.PL.xaml,Discord.SmallestText13,Mgliste Tańce Podwodne
304f12c38072e9f049aa005e28e21f8f,Discord\Discord.PL.xaml,Discord.SmallestText14,Tęczowe Migrujące Ptaki
597c9afec251bb3fe6e94790cbb96f19,Discord\Discord.PL.xaml,Discord.SmallestText15,Ścieżka Burzy Cukru
8ff25966c4ce264c7c2fa1ec335bbd16,Discord\Discord.PL.xaml,Discord.SmallestText16,Nieskończona Galaktyka Pizzy
80a1eeb74878f53019df56ca953f37a2,Discord\Discord.PL.xaml,Discord.SmallestText17,Uśmiech Słońca
6ead6ca731959babb4eafa4afb956f91,Discord\Discord.PL.xaml,Discord.SmallestText18,Zaginiony Uśmiech Tajemniczego Stawu
92cedb7c6dadf97534028321ff546555,Discord\Discord.PL.xaml,Discord.SmallestText19,Cień Ptaków Marzeń
dd58e5d4388e7df1a988f783e47f3d08,Discord\Discord.PL.xaml,Discord.SmallestText20,Motyle Unoszące się ku Niebu
54ac4ac6c3c908e0b591511ba3be86bc,Discord\Discord.PL.xaml,Discord.SmallestText21,Piosenki Ukryte za Gwiazdami
717241f892350289335f669e67bae49c,Discord\Discord.PL.xaml,Discord.SmallestText22,Mgliste Góry w Bajce
ef5a7fa870cb8d4e895ee317258fa5f0,Discord\Discord.PL.xaml,Discord.SmallestText23,Wróżka Tajemniczego Lasu
679b42b402c05ed2d957a209a14c7eea,Discord\Discord.PL.xaml,,
e85163d06593bc3506a0b55bb6d385d7,Discord\Discord.PL.xaml,Discord.StatementText0,Wszechświat pełen chaosu
603e3fdea38321b9d4f3c08a74055722,Discord\Discord.PL.xaml,Discord.StatementText1,Pośród nieskończonych przygód
e6eb87cf67aa4a936744f925a5e0f66e,Discord\Discord.PL.xaml,Discord.StatementText2,Dziwny i magiczny świat
6b7357cd734a3108b57ee0c2cd4a1094,Discord\Discord.PL.xaml,Discord.StatementText3,Wyzwalająca granice wyobraźni
87b5c50e056062b1be103f2521f95a26,Discord\Discord.PL.xaml,Discord.StatementText4,Niezwykła rzeczywistość
144103fe33759e513160cbeaa2fcc80d,Discord\Discord.PL.xaml,Discord.StatementText5,W głębi wyobraźni
551269cba70fbfc983551682ea30a270,Discord\Discord.PL.xaml,Discord.StatementText6,Magiczna podróż odkrywcza
4259008686f62f6b4d5b2939adb9192e,Discord\Discord.PL.xaml,Discord.StatementText7,Przed bramą nieznanych krain
dab8de8552534e7417b8850bedd5c264,Discord\Discord.PL.xaml,Discord.StatementText8,Kwiaty śmiejące się wesoło
db50a99775c9471710bb30234aa94d0e,Discord\Discord.PL.xaml,Discord.StatementText9,"Przygoda, która przekracza granice"
a9d97649fbbda38e4235dcf53b8c811e,Discord\Discord.PL.xaml,Discord.StatementText10,Dynamiczne i zaskakujące doświadczenie
eb8419d8a5d616909d01b30d08d3c348,Discord\Discord.PL.xaml,Discord.StatementText11,Wewnątrz fantastycznej opowieści
