Hash,File,Key,Value
e586c525e054fdc54fc65178b20cca64,Locale.RO.xaml,Base64,ICAgIDxSZXNvdXJjZURpY3Rpb25hcnkuTWVyZ2VkRGljdGlvbmFyaWVzPg0KICAgICAgICA8UmVzb3VyY2VEaWN0aW9uYXJ5IFNvdXJjZT0iTG9jYWxlLnhhbWwiIC8+DQoNCiAgICAgICAgPFJlc291cmNlRGljdGlvbmFyeSBTb3VyY2U9IlBvcnRhbC9Qb3J0YWwueGFtbCIgLz4NCiAgICAgICAgPFJlc291cmNlRGljdGlvbmFyeSBTb3VyY2U9IkRpc2NvcmQvRGlzY29yZC54YW1sIiAvPg0KICAgICAgICA8UmVzb3VyY2VEaWN0aW9uYXJ5IFNvdXJjZT0iTGF1bmNoZXIvTGF1bmNoZXIueGFtbCIgLz4NCg0KICAgICAgICA8UmVzb3VyY2VEaWN0aW9uYXJ5IFNvdXJjZT0iTGl2ZS9MaXZlLlJPLnhhbWwiIC8+DQogICAgICAgIDxSZXNvdXJjZURpY3Rpb25hcnkgU291cmNlPSJVbmRvL1VuZG8uUk8ueGFtbCIgLz4NCiAgICAgICAgPFJlc291cmNlRGljdGlvbmFyeSBTb3VyY2U9IlVwZGF0ZS9VcGRhdGUuUk8ueGFtbCIgLz4NCiAgICAgICAgPFJlc291cmNlRGljdGlvbmFyeSBTb3VyY2U9IlBvcnRhbC9Qb3J0YWwuUk8ueGFtbCIgLz4NCiAgICAgICAgPFJlc291cmNlRGljdGlvbmFyeSBTb3VyY2U9IkRpc2NvcmQvRGlzY29yZC5STy54YW1sIiAvPg0KICAgICAgICA8UmVzb3VyY2VEaWN0aW9uYXJ5IFNvdXJjZT0iTGF1bmNoZXIvTGF1bmNoZXIuUk8ueGFtbCIgLz4NCiAgICAgICAgPFJlc291cmNlRGljdGlvbmFyeSBTb3VyY2U9IlByb3BlcnR5L1Byb3BlcnR5LlJPLnhhbWwiIC8+DQogICAgICAgIDxSZXNvdXJjZURpY3Rpb25hcnkgU291cmNlPSJXYXRjaGRvZy9XYXRjaGRvZy5STy54YW1sIiAvPg0KICAgIDwvUmVzb3VyY2VEaWN0aW9uYXJ5Lk1lcmdlZERpY3Rpb25hcmllcz4=
6e9d25250392306554a99369bfea4d48,Discord\Discord.RO.xaml,Discord.BrowseButton,Răsfoiește
76d5ef4a47d4345c5dd04ff323fff33c,Discord\Discord.RO.xaml,Discord.Details,Motor de Fundal
41653c48a988f8f65f3ec226bec98fa2,Discord\Discord.RO.xaml,Discord.DownloadButton,Descarcă
43d865b7d54608e2054977e82e76430d,Discord\Discord.RO.xaml,,
8c41b21ab35b09d809e87b78887608e1,Discord\Discord.RO.xaml,Discord.LargestText0,Puterea Înghețatei de Banană
837bf021f18a95b9b5b7afbe9b1b61a0,Discord\Discord.RO.xaml,Discord.LargestText1,Monstrul Zâmbitor cu Pălărie
ca208c3c0e2595a2fb64c483a848ca8c,Discord\Discord.RO.xaml,Discord.LargestText2,Privighetoarele Care Înnoadă Norii
92a623c65be2edd2fdd6525a2af6eed6,Discord\Discord.RO.xaml,Discord.LargestText3,Aventurile Secrete Ale Pinguinilor Cursă
0b18ca2a33edcf1610281aa70e67b72f,Discord\Discord.RO.xaml,Discord.LargestText4,Iepurașii Pierduți în Câmpul de Margarete
f2362586aba7850c41f3182162b2dbd5,Discord\Discord.RO.xaml,Discord.LargestText5,Florile Vântului Care Cântă
7c6f0143e129300859c7c84aa99e84a3,Discord\Discord.RO.xaml,Discord.LargestText6,Albinele Misterioase ale Pădurii
1be73ff10d3d817a5422c9e70da74c28,Discord\Discord.RO.xaml,Discord.LargestText7,Turma de Pești Plină de Visuri
66524ace77d7379c80b15d4fd9939429,Discord\Discord.RO.xaml,Discord.LargestText8,Dansul Dragonului cu Ochi de Cristal
64d53a92dbf8c5cce189ee657c612deb,Discord\Discord.RO.xaml,Discord.LargestText9,Calea Poveștilor Acoperită cu Flori
86dd11693d8ecabda703e3f2c8adbac4,Discord\Discord.RO.xaml,Discord.LargestText10,Stele Căzătoare din Cer
0e0297e2d8db5651f11e04b4fed05f03,Discord\Discord.RO.xaml,Discord.LargestText11,Dans în Lumina Lunii Frânte
3e84fc61a465f2c99220f5d3bc7c4f5a,Discord\Discord.RO.xaml,Discord.LargestText12,Dragonii Misterioși ai Curcubeului
aac601aa8d3ab08159c0773c3802dbbf,Discord\Discord.RO.xaml,Discord.LargestText13,Poveste Magică a Pădurii
101f8b9f1f9f60bf5248cabf0c99b05a,Discord\Discord.RO.xaml,Discord.LargestText14,Ploaie de Flori către Cer
72c5a912c72f7637803428688711f55c,Discord\Discord.RO.xaml,Discord.LargestText15,Atingerea Tăcută a Timpului
c9242e6a12ef0375a2683188ac87da21,Discord\Discord.RO.xaml,Discord.LargestText16,Țara Viselor Surrealiste
f1d0a9781fe17c8506a4547443c438c3,Discord\Discord.RO.xaml,Discord.LargestText17,Cântecele Cascadelor de Aur
435791545f467bb94d06649d8338fb12,Discord\Discord.RO.xaml,Discord.LargestText18,Corăbii de Poveste Plutind spre Cer
2a056fb0130941f719fcbec4e3cdddea,Discord\Discord.RO.xaml,Discord.LargestText19,Pădurea cu Baloane Colorate
055c3906ea278859e31a56a5e376d281,Discord\Discord.RO.xaml,Discord.LargestText20,Orașul Subacvatic Misterios
d307403fe91dcfd89066ca196a9ef90f,Discord\Discord.RO.xaml,Discord.LargestText21,Cerul Pudrat cu Pulbere de Stele
23c9284d4be9b791b30162c12a6339c0,Discord\Discord.RO.xaml,Discord.LargestText22,Vânturile care Aleargă După Necunoscut
94502f2816da841ee79d7f2cf2f2520b,Discord\Discord.RO.xaml,Discord.LargestText23,Povești Fascinante Sub Lumina Lunii
101c77e79b0fa01c6c4fd76362cb0215,Discord\Discord.RO.xaml,,
e3fc2e36b687e2058694379054c9f65b,Discord\Discord.RO.xaml,Discord.SmallestText0,Urmă Misterioasă
38b2565eb9c968c5dda6b39e0755ef31,Discord\Discord.RO.xaml,Discord.SmallestText1,Peștii Balon Zburători
b3e70cd05c46ebfe02d4b8018d356f6d,Discord\Discord.RO.xaml,Discord.SmallestText2,Florile Care Râd în Hohote
2caac8d6b4e7051de9c8011c088ec24c,Discord\Discord.RO.xaml,Discord.SmallestText3,Norii de Zahăr de Pufoșenie
c902bf477e03e099b7702203467ea7a3,Discord\Discord.RO.xaml,Discord.SmallestText4,Dragonii Pizza Înghețată
c84cf06b39f6a2f81a1773b636cf98f4,Discord\Discord.RO.xaml,Discord.SmallestText5,Pirații Ciuperci Strălucitori
e42ba6acc88f9fc5d7c4275c17050dc6,Discord\Discord.RO.xaml,Discord.SmallestText6,Urmă de Picior de Unicorn Invizibil
65c9d70698a68fbf669017225af456b2,Discord\Discord.RO.xaml,Discord.SmallestText7,Norii Colorați de Praf
bf85be2eab17fd97a519243982f8cf19,Discord\Discord.RO.xaml,Discord.SmallestText8,Fluturi Aurii în Baloane
afc9297468d9c9fe861ce5ec0e3faea6,Discord\Discord.RO.xaml,Discord.SmallestText9,Călătorie în Craterul de Zahăr
bda3520cd426949f37fe268fe545e46a,Discord\Discord.RO.xaml,Discord.SmallestText10,Felii de Pizza Zburând cu Rachie
dc8210b1cc6b6b0ad6f6b30fa3565d58,Discord\Discord.RO.xaml,Discord.SmallestText11,Dansul Scoicilor în Soare
e770bb16cd2a668d793851e841ded344,Discord\Discord.RO.xaml,Discord.SmallestText12,Degete de Stele Invizibile
7e5babf5f0bd27b65c0e8cdef2287aaf,Discord\Discord.RO.xaml,Discord.SmallestText13,Dans Subacvatic în Ceață
304f12c38072e9f049aa005e28e21f8f,Discord\Discord.RO.xaml,Discord.SmallestText14,Migrația Păsărilor în Curcubeu
597c9afec251bb3fe6e94790cbb96f19,Discord\Discord.RO.xaml,Discord.SmallestText15,Drumul Furtunii de Zahăr
8ff25966c4ce264c7c2fa1ec335bbd16,Discord\Discord.RO.xaml,Discord.SmallestText16,Galaxia Infinită a Pizzei
80a1eeb74878f53019df56ca953f37a2,Discord\Discord.RO.xaml,Discord.SmallestText17,Zâmbetul Soarelui
6ead6ca731959babb4eafa4afb956f91,Discord\Discord.RO.xaml,Discord.SmallestText18,Zâmbetul Pierdut al Lacului Secret
92cedb7c6dadf97534028321ff546555,Discord\Discord.RO.xaml,Discord.SmallestText19,Umbră de Păsări de Vis
dd58e5d4388e7df1a988f783e47f3d08,Discord\Discord.RO.xaml,Discord.SmallestText20,Fluturi Zburând spre Cer
54ac4ac6c3c908e0b591511ba3be86bc,Discord\Discord.RO.xaml,Discord.SmallestText21,Cântecele Ascunse în Spatele Stelelor
717241f892350289335f669e67bae49c,Discord\Discord.RO.xaml,Discord.SmallestText22,Munții Învolburați în Poveste
ef5a7fa870cb8d4e895ee317258fa5f0,Discord\Discord.RO.xaml,Discord.SmallestText23,Zâna Pădurii Misterioase
