Hash,File,Key,Value
e586c525e054fdc54fc65178b20cca64,Locale.TR.xaml,Base64,ICAgIDxSZXNvdXJjZURpY3Rpb25hcnkuTWVyZ2VkRGljdGlvbmFyaWVzPg0KICAgICAgICA8UmVzb3VyY2VEaWN0aW9uYXJ5IFNvdXJjZT0iTG9jYWxlLnhhbWwiIC8+DQoNCiAgICAgICAgPFJlc291cmNlRGljdGlvbmFyeSBTb3VyY2U9IlBvcnRhbC9Qb3J0YWwueGFtbCIgLz4NCiAgICAgICAgPFJlc291cmNlRGljdGlvbmFyeSBTb3VyY2U9IkRpc2NvcmQvRGlzY29yZC54YW1sIiAvPg0KICAgICAgICA8UmVzb3VyY2VEaWN0aW9uYXJ5IFNvdXJjZT0iTGF1bmNoZXIvTGF1bmNoZXIueGFtbCIgLz4NCg0KICAgICAgICA8UmVzb3VyY2VEaWN0aW9uYXJ5IFNvdXJjZT0iTGl2ZS9MaXZlLlRSLnhhbWwiIC8+DQogICAgICAgIDxSZXNvdXJjZURpY3Rpb25hcnkgU291cmNlPSJVbmRvL1VuZG8uVFIueGFtbCIgLz4NCiAgICAgICAgPFJlc291cmNlRGljdGlvbmFyeSBTb3VyY2U9IlVwZGF0ZS9VcGRhdGUuVFIueGFtbCIgLz4NCiAgICAgICAgPFJlc291cmNlRGljdGlvbmFyeSBTb3VyY2U9IlBvcnRhbC9Qb3J0YWwuVFIueGFtbCIgLz4NCiAgICAgICAgPFJlc291cmNlRGljdGlvbmFyeSBTb3VyY2U9IkRpc2NvcmQvRGlzY29yZC5UUi54YW1sIiAvPg0KICAgICAgICA8UmVzb3VyY2VEaWN0aW9uYXJ5IFNvdXJjZT0iTGF1bmNoZXIvTGF1bmNoZXIuVFIueGFtbCIgLz4NCiAgICAgICAgPFJlc291cmNlRGljdGlvbmFyeSBTb3VyY2U9IlByb3BlcnR5L1Byb3BlcnR5LlRSLnhhbWwiIC8+DQogICAgICAgIDxSZXNvdXJjZURpY3Rpb25hcnkgU291cmNlPSJXYXRjaGRvZy9XYXRjaGRvZy5UUi54YW1sIiAvPg0KICAgIDwvUmVzb3VyY2VEaWN0aW9uYXJ5Lk1lcmdlZERpY3Rpb25hcmllcz4=
6e9d25250392306554a99369bfea4d48,Discord\Discord.TR.xaml,Discord.BrowseButton,Gözat
76d5ef4a47d4345c5dd04ff323fff33c,Discord\Discord.TR.xaml,Discord.Details,Duvar Kağıdı Motoru
41653c48a988f8f65f3ec226bec98fa2,Discord\Discord.TR.xaml,Discord.DownloadButton,İndir
43d865b7d54608e2054977e82e76430d,Discord\Discord.TR.xaml,,
8c41b21ab35b09d809e87b78887608e1,Discord\Discord.TR.xaml,Discord.LargestText0,Muzlu Dondurma Gücü
837bf021f18a95b9b5b7afbe9b1b61a0,Discord\Discord.TR.xaml,Discord.LargestText1,Gülümseyen Şapka Canavarı
ca208c3c0e2595a2fb64c483a848ca8c,Discord\Discord.TR.xaml,Discord.LargestText2,Bulutları Renklendiren Serçeler
92a623c65be2edd2fdd6525a2af6eed6,Discord\Discord.TR.xaml,Discord.LargestText3,Koşan Penguenlerin Gizli Maceraları
0b18ca2a33edcf1610281aa70e67b72f,Discord\Discord.TR.xaml,Discord.LargestText4,Papatya Tarlasında Kaybolan Tavşanlar
f2362586aba7850c41f3182162b2dbd5,Discord\Discord.TR.xaml,Discord.LargestText5,Şarkı Söyleyen Rüzgar Gülleri
7c6f0143e129300859c7c84aa99e84a3,Discord\Discord.TR.xaml,Discord.LargestText6,Gizemli Ormanın Sırlı Arıları
1be73ff10d3d817a5422c9e70da74c28,Discord\Discord.TR.xaml,Discord.LargestText7,Rüya Dolu Balık Sürüsü
66524ace77d7379c80b15d4fd9939429,Discord\Discord.TR.xaml,Discord.LargestText8,Kristal Gözlü Ejderha Dansı
64d53a92dbf8c5cce189ee657c612deb,Discord\Discord.TR.xaml,Discord.LargestText9,Çiçeklerle Kaplı Masal Yolu
86dd11693d8ecabda703e3f2c8adbac4,Discord\Discord.TR.xaml,Discord.LargestText10,Gökyüzünden Dökülen Yıldızlar
0e0297e2d8db5651f11e04b4fed05f03,Discord\Discord.TR.xaml,Discord.LargestText11,Kırık Ay Işığında Dans
3e84fc61a465f2c99220f5d3bc7c4f5a,Discord\Discord.TR.xaml,Discord.LargestText12,Gizemli Gökkuşağı Ejderhaları
aac601aa8d3ab08159c0773c3802dbbf,Discord\Discord.TR.xaml,Discord.LargestText13,Büyülü Orman Masalı
101f8b9f1f9f60bf5248cabf0c99b05a,Discord\Discord.TR.xaml,Discord.LargestText14,Gökyüzüne Çiçek Yağmuru
72c5a912c72f7637803428688711f55c,Discord\Discord.TR.xaml,Discord.LargestText15,Zamanın Sessiz Dokunuşu
c9242e6a12ef0375a2683188ac87da21,Discord\Discord.TR.xaml,Discord.LargestText16,Sürreal Rüyalar Ülkesi
f1d0a9781fe17c8506a4547443c438c3,Discord\Discord.TR.xaml,Discord.LargestText17,Altın Şelale Şarkıları
435791545f467bb94d06649d8338fb12,Discord\Discord.TR.xaml,Discord.LargestText18,Gökyüzüne Yüzen Masal Gemileri
2a056fb0130941f719fcbec4e3cdddea,Discord\Discord.TR.xaml,Discord.LargestText19,Rengarenk Balonlu Orman
055c3906ea278859e31a56a5e376d281,Discord\Discord.TR.xaml,Discord.LargestText20,Gizemli Denizaltı Şehri
d307403fe91dcfd89066ca196a9ef90f,Discord\Discord.TR.xaml,Discord.LargestText21,Yıldız Tozlu Gökyüzü
23c9284d4be9b791b30162c12a6339c0,Discord\Discord.TR.xaml,Discord.LargestText22,Bilinmeyenin Peşinde Koşan Rüzgarlar
94502f2816da841ee79d7f2cf2f2520b,Discord\Discord.TR.xaml,Discord.LargestText23,Ayışığı Altında Sürükleyici Hikayeler
101c77e79b0fa01c6c4fd76362cb0215,Discord\Discord.TR.xaml,,
e3fc2e36b687e2058694379054c9f65b,Discord\Discord.TR.xaml,Discord.SmallestText0,Gizemli Ayak İzleri
38b2565eb9c968c5dda6b39e0755ef31,Discord\Discord.TR.xaml,Discord.SmallestText1,Uçan Balon Balıkları
b3e70cd05c46ebfe02d4b8018d356f6d,Discord\Discord.TR.xaml,Discord.SmallestText2,Kahkaha Atan Çiçekler
2caac8d6b4e7051de9c8011c088ec24c,Discord\Discord.TR.xaml,Discord.SmallestText3,Şekerli Pamuk Bulutları
c902bf477e03e099b7702203467ea7a3,Discord\Discord.TR.xaml,Discord.SmallestText4,Donmuş Pizza Ejderhaları
c84cf06b39f6a2f81a1773b636cf98f4,Discord\Discord.TR.xaml,Discord.SmallestText5,Parlak Mantar Korsanları
e42ba6acc88f9fc5d7c4275c17050dc6,Discord\Discord.TR.xaml,Discord.SmallestText6,Görünmez Unicorn Ayak İzi
65c9d70698a68fbf669017225af456b2,Discord\Discord.TR.xaml,Discord.SmallestText7,Renkli Toz Bulutları
bf85be2eab17fd97a519243982f8cf19,Discord\Discord.TR.xaml,Discord.SmallestText8,Altın Balon Kelebekleri
afc9297468d9c9fe861ce5ec0e3faea6,Discord\Discord.TR.xaml,Discord.SmallestText9,Şeker Krateri Yolculuğu
bda3520cd426949f37fe268fe545e46a,Discord\Discord.TR.xaml,Discord.SmallestText10,Roketle Uçan Pizza Dilimleri
dc8210b1cc6b6b0ad6f6b30fa3565d58,Discord\Discord.TR.xaml,Discord.SmallestText11,Güneşle Dans Eden Deniz Kabukları
e770bb16cd2a668d793851e841ded344,Discord\Discord.TR.xaml,Discord.SmallestText12,Görünmez Yıldız Parmakları
7e5babf5f0bd27b65c0e8cdef2287aaf,Discord\Discord.TR.xaml,Discord.SmallestText13,Sisli Denizaltı Dansı
304f12c38072e9f049aa005e28e21f8f,Discord\Discord.TR.xaml,Discord.SmallestText14,Gökkuşağı Kuş Göçleri
597c9afec251bb3fe6e94790cbb96f19,Discord\Discord.TR.xaml,Discord.SmallestText15,Şeker Fırtınası Yolu
8ff25966c4ce264c7c2fa1ec335bbd16,Discord\Discord.TR.xaml,Discord.SmallestText16,Sonsuz Pizza Galaksisi
80a1eeb74878f53019df56ca953f37a2,Discord\Discord.TR.xaml,Discord.SmallestText17,Güneşin Gülüşü
6ead6ca731959babb4eafa4afb956f91,Discord\Discord.TR.xaml,Discord.SmallestText18,Gizli Göletin Kayıp Gülüşü
92cedb7c6dadf97534028321ff546555,Discord\Discord.TR.xaml,Discord.SmallestText19,Rüya Kuşlarının Gölgesi
dd58e5d4388e7df1a988f783e47f3d08,Discord\Discord.TR.xaml,Discord.SmallestText20,Gökyüzüne Doğru Yükselen Kelebekler
54ac4ac6c3c908e0b591511ba3be86bc,Discord\Discord.TR.xaml,Discord.SmallestText21,Yıldızların Ardında Gizlenen Şarkılar
717241f892350289335f669e67bae49c,Discord\Discord.TR.xaml,Discord.SmallestText22,Masalın Sisli Dağları
ef5a7fa870cb8d4e895ee317258fa5f0,Discord\Discord.TR.xaml,Discord.SmallestText23,Gizemli Ormanın Perisi
679b42b402c05ed2d957a209a14c7eea,Discord\Discord.TR.xaml,,
e85163d06593bc3506a0b55bb6d385d7,Discord\Discord.TR.xaml,Discord.StatementText0,Kaos Dolu Bir Evren
603e3fdea38321b9d4f3c08a74055722,Discord\Discord.TR.xaml,Discord.StatementText1,Sonsuz Maceraların Ortasında
e6eb87cf67aa4a936744f925a5e0f66e,Discord\Discord.TR.xaml,Discord.StatementText2,Garip ve Büyülü Bir Dünya
6b7357cd734a3108b57ee0c2cd4a1094,Discord\Discord.TR.xaml,Discord.StatementText3,Hayal Gücünün Sınırlarını Zorlayan
87b5c50e056062b1be103f2521f95a26,Discord\Discord.TR.xaml,Discord.StatementText4,Sıradışı Bir Gerçeklik
144103fe33759e513160cbeaa2fcc80d,Discord\Discord.TR.xaml,Discord.StatementText5,Hayal Gücünün Derinliklerinde
551269cba70fbfc983551682ea30a270,Discord\Discord.TR.xaml,Discord.StatementText6,Büyülü Bir Keşif Yolculuğu
4259008686f62f6b4d5b2939adb9192e,Discord\Discord.TR.xaml,Discord.StatementText7,Bilinmeyen Diyarların Kapısında
dab8de8552534e7417b8850bedd5c264,Discord\Discord.TR.xaml,Discord.StatementText8,Karmaşık Bir Rüya Dünyası
db50a99775c9471710bb30234aa94d0e,Discord\Discord.TR.xaml,Discord.StatementText9,Sınırları Zorlayan Bir Macera
a9d97649fbbda38e4235dcf53b8c811e,Discord\Discord.TR.xaml,Discord.StatementText10,Dinamik ve Şaşırtıcı Bir Deneyim
eb8419d8a5d616909d01b30d08d3c348,Discord\Discord.TR.xaml,Discord.StatementText11,Fantastik Bir Masalın İçinde
69434d85288b825a44357e93a71d9ad5,Discord\Discord.TR.xaml,Discord.StatementText12,Sihirli Portallar Arasında
8b54bb82ef79efedb87efdb617fb0248,Discord\Discord.TR.xaml,Discord.StatementText13,Gece Gökyüzüne Yolculuk
962b223608f7fc1906913a2d65f4d858,Discord\Discord.TR.xaml,Discord.StatementText14,Kaybolmuş Kıtasının İzinde
38837e329da6d1ee93f018da33eddff7,Discord\Discord.TR.xaml,Discord.StatementText15,Bilinmeyen Gezegenlerin Hikayesi
91134972a81338434601e691bdb1ba75,Discord\Discord.TR.xaml,Discord.StatementText16,Paralel Evrenlerin Keşfi
81b2b1f045cd0570163218fba201f084,Discord\Discord.TR.xaml,Discord.StatementText17,Efsanevi Diyarların Girişi
047de5a829108b5fac49f72ab9109cd2,Discord\Discord.TR.xaml,Discord.StatementText18,Rüya Dokusuyla Örülü Gerçeklik
a6980cc5d166dbe26665edcbc8eb5561,Discord\Discord.TR.xaml,Discord.StatementText19,Yıldızlar Arası Bir Rüya
e808aa6236c5f68945251603d2ec2935,Discord\Discord.TR.xaml,Discord.StatementText20,Zamanın Kapıları Ardında
16676e93ffd586616f9f46b27c6b8ec0,Discord\Discord.TR.xaml,Discord.StatementText21,Parıldayan Yıldızlar Takımı
3aea4b817f3559b2eccff1120c5e1c35,Discord\Discord.TR.xaml,Discord.StatementText22,Bilinmeyenin Sessiz Çığlığı
5a156d8af8d7b29cacf1c432785950e7,Discord\Discord.TR.xaml,Discord.StatementText23,Sürükleyici Bir Dünya
3f5df082a5bdf615527eb874bcf830d2,Discord\Discord.TR.xaml,Discord.StatementText24,Mistik Dağların Zirvesinde
19bf547e9746f5cfa21e9f9d8994d421,Discord\Discord.TR.xaml,Discord.StatementText25,Kaybolmuş Krallıkların İzinde
c828f30c5f9a8d27f55a9d62cafb86b5,Discord\Discord.TR.xaml,Discord.StatementText26,Yıldızlar Arası Rüya Yolculuğu
408e30262320f623051ae810ce587122,Discord\Discord.TR.xaml,Discord.StatementText27,Büyülü Gece Yaratıkları
361bc88fdcce227941a87a87cea13433,Discord\Discord.TR.xaml,Discord.StatementText28,Sonsuz Masalın Başlangıcı
6cfbedfadaf87e289dded9a0bf4ed902,Discord\Discord.TR.xaml,Discord.StatementText29,Gökyüzüne Yükselen Rengarenk Balonlar
4bbda4ad916ae316629d49ea3e904479,Discord\Discord.TR.xaml,Discord.StatementText30,Gizemli Gece Gökyüzü
6f0d08c3e90443ab0af00aac7cbd6c03,Discord\Discord.TR.xaml,Discord.StatementText31,Rüya Yolu Kaybolan Krallık
33e674319ba12da2af092281a40e7f12,Discord\Discord.TR.xaml,Discord.StatementText32,Bilinmeyen Diyarlara Açılan Kapı
d8e33b204b10f2954b9eef4e6d73f147,Discord\Discord.TR.xaml,Discord.StatementText33,Zamanın Kucağında Dans
f6052e9be316d6a882143e81898cfcc7,Discord\Discord.TR.xaml,Discord.StatementText34,Geceye Gömülen Hikayeler
959411166e8a52fc352983ced6808d5c,Discord\Discord.TR.xaml,Discord.StatementText35,Büyülü Ayna Dünyası
1176f0332ffa994bed3746f10491cbf4,Discord\Discord.TR.xaml,Discord.StatementText36,Sonsuzluğun Kapılarında Yolculuk
5bffe1f326a23c91a64ad8c47b59209d,Discord\Discord.TR.xaml,Discord.StatementText37,Rüya Avcısı Gece Yolculuğu
c427597c3c9ef306f4abe04c8ec1fc3e,Discord\Discord.TR.xaml,Discord.StatementText38,Kristal Şehir Rüyası
9f72b45a8b11c0d96efdb56b5e9454e7,Discord\Discord.TR.xaml,Discord.StatementText39,Karanlıkta Parlayan Yıldızlar
b15424a398bb023d3cd813bf27fdc9fe,Discord\Discord.TR.xaml,Discord.StatementText40,Yıldızların Ardında Sırlı Gece
41a639575e4ebd69815d9680b709d598,Discord\Discord.TR.xaml,Discord.StatementText41,Gizemli Ayışığı Hikayeleri
b6dd08282582cb7014c2e22a445133f4,Discord\Discord.TR.xaml,Discord.StatementText42,Altın Kapı Bilinmeyen Diyarların Eşiğinde
3932a0864f01b01bb7f0af484e638a46,Discord\Discord.TR.xaml,Discord.StatementText43,Sihirli Gecenin Esrarengiz Yolları
c5ba0c1027fc42ab47fe89608aedcef1,Discord\Discord.TR.xaml,Discord.StatementText44,Gökyüzüne Yükselen Rüya Balonları
fee9cb622174bff7494469c4559b4eb6,Discord\Discord.TR.xaml,Discord.StatementText45,Rüya Yolu Yıldızların Altında
6a1cdbf047734d43d2f309710ce7af2f,Discord\Discord.TR.xaml,Discord.StatementText46,Gizli Dünya Yıldız Kıyısındaki Kasaba
757dca76601fd3f1d30c977a04cb7a7e,Discord\Discord.TR.xaml,Discord.StatementText47,Sisli Dağın Ardındaki Masal
